Hole_Id,Easting,Northing,Elevation,Td,CAMPANA
AA13,327121.431,8108683.244,3582.51,273.86,MP72
AA13A,326990.488,8108056.78,3659.856,142.5,INFILL
AA15,327258.311,8108664.833,3560.461,420.01,MP72
AA17,327357.058,8108678.819,3556.201,312.66,MP72
AD23-0128,328079.994,8107760.079,3779.71,60,AD2023
AD23-0130,328120.061,8107759.92,3779.571,60,AD2023
AD23-0131,328140.137,8107759.883,3779.764,60,AD2023
AD23-0132,328160.123,8107760.011,3779.703,60,AD2023
AD23-0136,328159.885,8107780.054,3779.592,60,AD2023
AD23-0137,328139.989,8107779.974,3779.494,60,AD2023
AD23-0138,328120.08,8107780.274,3779.703,60,AD2023
AD23-0139,328100.081,8107780.201,3779.717,60,AD2023
AD23-0142,328060.094,8107800.12,3779.309,60,AD2023
AD23-0143,328079.874,8107800.002,3779.603,60,AD2023
AD23-0144,328100.066,8107800.019,3779.726,60,AD2023
AD23-0145,328120.175,8107800.079,3779.753,60,AD2023
AD23-0146,328140.29,8107799.991,3779.564,60,AD2023
AD23-0147,328159.775,8107799.768,3779.572,60,AD2023